,Semiconductors_CPUs_GPUs,Big_Tech_Cloud_Platforms,Banking_Capital_Markets,Defense_Aerospace,Biotech_Pharmaceuticals,Medical_Devices_Diagnostics,Green_Energy_Storage,Oil_Gas_Commodities,Agriculture_Fertilizers_Chemicals,Metals_Mining_Critical_Minerals,Industrial_Machinery_Autos,Luxury_Goods_Retail,Real_Estate_REITs,Telecommunications_Connectivity,Fintech_Payments,Entertainment_Gaming_Streaming,Climate_Extreme_Weather_Insurance
TSLA,0.15932656824588776,0.0,0.0,0.0,0.0,0.0,0.29025113582611084,0.0,0.0,0.17539098858833313,0.3866535425186157,0.0,0.0,0.0,0.0,0.0,0.0
BYDDF,0.2725051939487457,0.0,0.0,0.16524723172187805,0.0,0.0,0.28463318943977356,0.1945606917142868,0.0,0.19589325785636902,0.41343316435813904,0.3023330271244049,0.18177244067192078,0.20086319744586945,0.0,0.0,0.0
JPM,0.0,0.16911661624908447,0.38017550110816956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24951255321502686,0.16041840612888336,0.0,0.43756774067878723,0.0,0.0
GS,0.0,0.23127219080924988,0.38504910469055176,0.0,0.0,0.0,0.0,0.17820677161216736,0.0,0.0,0.0,0.28437337279319763,0.17051683366298676,0.0,0.372748464345932,0.0,0.0
BAC,0.0,0.1895836442708969,0.44309672713279724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640661299228668,0.1955430805683136,0.0,0.4039142429828644,0.0,0.0
HSBC,0.0,0.16044077277183533,0.23613041639328003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29731935262680054,0.0,0.0,0.25879842042922974,0.0,0.0
LMT,0.20201952755451202,0.19352976977825165,0.0,0.5244293808937073,0.0,0.0,0.0,0.0,0.0,0.0,0.2142961323261261,0.0,0.0,0.0,0.0,0.0,0.0
RTX,0.20414355397224426,0.23114646971225739,0.0,0.41688868403434753,0.0,0.22152197360992432,0.1643088161945343,0.1753292679786682,0.0,0.0,0.2429715096950531,0.2070934772491455,0.16083340346813202,0.15342053771018982,0.0,0.0,0.0
NOC,0.24303148686885834,0.2050706148147583,0.0,0.605136513710022,0.0,0.1845516711473465,0.0,0.0,0.0,0.0,0.22374634444713593,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.19931408762931824,0.2430705726146698,0.0,0.5105065703392029,0.0,0.16908228397369385,0.0,0.17629924416542053,0.0,0.0,0.18837837874889374,0.19885694980621338,0.0,0.0,0.0,0.0,0.0
AVGO,0.3594893515110016,0.23488138616085052,0.0,0.3133651614189148,0.0,0.0,0.17293965816497803,0.0,0.0,0.0,0.19478395581245422,0.0,0.0,0.29810723662376404,0.0,0.0,0.0
